| Age   | Sample size |
| ----- | ----------- |
| 2     | 589         |
| 3     | 513         |
| 4     | 551         |
| 5     | 497         |
| 6     | 283         |
| 7     | 270         |
| 8     | 269         |
| 9     | 280         |
| 10    | 297         |
| 11    | 285         |
| 12    | 207         |
| 13    | 190         |
| 14    | 191         |
| 15    | 188         |
| 16    | 197         |
| 17    | 196         |
| 18    | 176         |
| 19    | 169         |
| 20+   | 7943        |
| 20–29 | 1631        |
| 30–39 | 1481        |
| 40–49 | 1226        |
| 50–59 | 855         |
| 60–69 | 1176        |
| 70–79 | 875         |
| 80+   | 699         |
