Age,"Sample size"
"3–5 months",306
"6–8 months",257
"9–11 months",309
"1 year",629
"2 years",556
"3 years",562
"4 years",527
"5 years",556
"6 years",274
"7 years",270
"8 years",245
"9 years",271
"10 years",255
"11 years",268
"12 years",233
"13 years",218
"14 years",220
"15 years",195
"16 years",211
"17 years",210
"18 years",186
"19 years",185
"20 years and older",8393
"20–29 years",1807
"30–39 years",1791
"40–49 years",1302
"50–59 years",964
"60–69 years",1089
"70–79 years",864
"80 years and older",576
