| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 306         |
| 6m–8m  | 257         |
| 9m–11m | 309         |
| 1      | 629         |
| 2      | 556         |
| 3      | 562         |
| 4      | 527         |
| 5      | 556         |
| 6      | 274         |
| 7      | 270         |
| 8      | 245         |
| 9      | 271         |
| 10     | 255         |
| 11     | 268         |
| 12     | 233         |
| 13     | 218         |
| 14     | 220         |
| 15     | 195         |
| 16     | 211         |
| 17     | 210         |
| 18     | 186         |
| 19     | 185         |
| 20+    | 8393        |
| 20–29  | 1807        |
| 30–39  | 1791        |
| 40–49  | 1302        |
| 50–59  | 964         |
| 60–69  | 1089        |
| 70–79  | 864         |
| 80+    | 576         |
