| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 282         |
| 6m–8m  | 314         |
| 9m–11m | 269         |
| 1      | 651         |
| 2      | 571         |
| 3      | 484         |
| 4      | 541         |
| 5      | 494         |
| 6      | 279         |
| 7      | 268         |
| 8      | 263         |
| 9      | 276         |
| 10     | 294         |
| 11     | 282         |
| 12     | 202         |
| 13     | 181         |
| 14     | 185         |
| 15     | 183         |
| 16     | 192         |
| 17     | 193         |
| 18     | 169         |
| 19     | 162         |
| 20+    | 7467        |
| 20–29  | 1585        |
| 30–39  | 1435        |
| 40–49  | 1176        |
| 50–59  | 820         |
| 60–69  | 1112        |
| 70–79  | 788         |
| 80+    | 551         |
