| Age   | Sample size |
| ----- | ----------- |
| 2     | 530         |
| 3     | 490         |
| 4     | 541         |
| 5     | 488         |
| 6     | 279         |
| 7     | 268         |
| 8     | 262         |
| 9     | 275         |
| 10    | 293         |
| 11    | 279         |
| 12    | 202         |
| 13    | 182         |
| 14    | 186         |
| 15    | 181         |
| 16    | 192         |
| 17    | 191         |
| 18    | 168         |
| 19    | 162         |
| 20+   | 7405        |
| 20–29 | 1579        |
| 30–39 | 1434        |
| 40–49 | 1170        |
| 50–59 | 816         |
| 60–69 | 1101        |
| 70–79 | 774         |
| 80+   | 531         |
