| Age   | Sample size |
| ----- | ----------- |
| 2     | 500         |
| 3     | 478         |
| 4     | 537         |
| 5     | 488         |
| 6     | 277         |
| 7     | 266         |
| 8     | 257         |
| 9     | 271         |
| 10    | 289         |
| 11    | 275         |
| 12    | 199         |
| 13    | 181         |
| 14    | 178         |
| 15    | 178         |
| 16    | 186         |
| 17    | 185         |
| 18    | 164         |
| 19    | 159         |
| 20+   | 7258        |
| 20–29 | 1538        |
| 30–39 | 1385        |
| 40–49 | 1144        |
| 50–59 | 794         |
| 60–69 | 1087        |
| 70–79 | 770         |
| 80+   | 540         |
