| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 290         |
| 6m–8m  | 320         |
| 9m–11m | 275         |
| 1      | 647         |
| 2      | 555         |
| 3      | 479         |
| 4      | 538         |
| 5      | 493         |
| 6      | 278         |
| 7      | 268         |
| 8      | 262         |
| 9      | 276         |
| 10     | 293         |
| 11     | 282         |
| 12     | 200         |
| 13     | 182         |
| 14     | 183         |
| 15     | 182         |
| 16     | 191         |
| 17     | 191         |
| 18     | 168         |
| 19     | 160         |
| 20+    | 7540        |
| 20–29  | 1556        |
| 30–39  | 1419        |
| 40–49  | 1164        |
| 50–59  | 813         |
| 60–69  | 1122        |
| 70–79  | 825         |
| 80+    | 641         |
