| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 308         |
| 6m–8m  | 264         |
| 9m–11m | 315         |
| 1      | 647         |
| 2      | 624         |
| 3      | 587         |
| 4      | 537         |
| 5      | 554         |
| 6      | 272         |
| 7      | 274         |
| 8      | 248         |
| 9      | 280         |
| 10     | 258         |
| 11     | 275         |
| 12     | 236         |
| 13     | 220         |
| 14     | 218         |
| 15     | 191         |
| 16     | 208         |
| 17     | 201         |
| 18     | 175         |
| 19     | 177         |
| 20+    | 8764        |
| 20–29  | 1665        |
| 30–39  | 1775        |
| 40–49  | 1368        |
| 50–59  | 1006        |
| 60–69  | 1172        |
| 70–79  | 988         |
| 80+    | 790         |
