Age,"percent of adult height"
Birth,32
"2 months",36
"3 months",38
"4 months",39
"5 months",40
"6 months",42
"7 months",42
"8 months",43
"9 months",44
"10 months",45
"11 months",46
"1 year",50
"2 years",56
"3 years",61
"4 years",65
"5 years",70
"6 years",73
"7 years",77
"8 years",82
"9 years",85
"10 years",89
"11 years",93
"12 years",97
"13 years",99
"14 years",100
"15 years",101
"16 years",101
"17 years",101
"18 years",101
"19 years",102
"20 years and over",100
"20–29 years",101
"30–39 years",101
"40–49 years",101
"50–59 years",100
"60–69 years",100
"70–79 years",98
"80 years and over",96
