Age,"Percent of adult weight"
birth,5
"2 months",8
"3 months",9
"4 months",9
"5 months",10
"6 months",11
"7 months",11
"8 months",12
"9 months",12
"10 months",12
"11 months",13
"1 year",15
"2 years",17
"3 years",20
"4 years",22
"5 years",25
"6 years",29
"7 years",33
"8 years",37
"9 years",42
"10 years",46
"11 years",52
"12 years",60
"13 years",66
"14 years",79
"15 years",82
"16 years",84
"17 years",89
"18 years",87
"19 years",89
"20 years and over",100
"20–29 years",96
"30–39 years",102
"40–49 years",104
"50–59 years",105
"60–69 years",102
"70–79 years",97
"80 years and over",88
