| Age   | Adult Height (5th) | Adult Height (50th) | Adult Height (95th) |
| ----- | ------------------ | ------------------- | ------------------- |
| 0     | 29                 | 32                  | 34                  |
| 2m    | 34                 | 36                  | 38                  |
| 3m    | 36                 | 38                  | 41                  |
| 4m    | 36                 | 39                  | 42                  |
| 5m    | 38                 | 40                  | 43                  |
| 6m    | 40                 | 42                  | 44                  |
| 7m    | 39                 | 42                  | 45                  |
| 8m    | 41                 | 43                  | 46                  |
| 9m    | 42                 | 44                  | 47                  |
| 10m   | 42                 | 45                  | 48                  |
| 11m   | 43                 | 46                  | 49                  |
| 1     | 47                 | 50                  | 54                  |
| 2     | 52                 | 56                  | 60                  |
| 3     | 57                 | 61                  | 66                  |
| 4     | 61                 | 65                  | 71                  |
| 5     | 64                 | 70                  | 76                  |
| 6     | 67                 | 74                  | 80                  |
| 7     | 72                 | 77                  | 84                  |
| 8     | 76                 | 82                  | 88                  |
| 9     | 78                 | 85                  | 91                  |
| 10    | 81                 | 89                  | 97                  |
| 11    | 85                 | 94                  | 100                 |
| 12    | 89                 | 97                  | 106                 |
| 13    | 92                 | 99                  | 107                 |
| 14    | 93                 | 100                 | 108                 |
| 15    | 96                 | 101                 | 107                 |
| 16    | 96                 | 101                 | 107                 |
| 17    | 94                 | 102                 | 109                 |
| 18    | 93                 | 102                 | 108                 |
| 19    | 93                 | 102                 | 108                 |
| 20+   | 94                 | 100                 | 108                 |
| 20–29 | 94                 | 101                 | 108                 |
| 30–39 | 95                 | 102                 | 109                 |
| 40–49 | 95                 | 101                 | 107                 |
| 50–59 | 94                 | 101                 | 107                 |
| 60–69 | 93                 | 100                 | 106                 |
| 70–79 | 92                 | 98                  | 104                 |
| 80+   | 89                 | 96                  | 103                 |
