Age,"Adult Height (5th)","Adult Height (50th)","Adult Height (95th)"
Birth,27,30,32
"2 months",32,34,37
"3 months",34,36,38
"4 months",35,37,40
"5 months",36,38,41
"6 months",37,39,41
"7 months",38,40,44
"8 months",39,41,44
"9 months",39,42,44
"10 months",40,42,45
"11 months",40,43,46
"1 year",44,47,51
"2 years",49,52,56
"3 years",53,57,61
"4 years",56,60,65
"5 years",60,64,70
"6 years",62,68,74
"7 years",66,72,79
"8 years",69,75,81
"9 years",73,79,86
"10 years",75,82,87
"11 years",78,84,91
"12 years",82,88,99
"13 years",83,93,101
"14 years",91,97,104
"15 years",91,99,108
"16 years",93,100,108
"17 years",94,101,110
"18 years",94,101,110
"19 years",95,100,106
"20 years and over",94,100,107
"20–29 years",94,101,107
"30–39 years",94,101,108
"40–49 years",94,101,107
"50–59 years",94,100,107
"60–69 years",93,98,106
"70–79 years",92,97,105
"80 years and over",90,100,103
