Age,"Adult waist (5th)","Adult waist (50th)","Adult waist (95th)"
"2 years",50,56,61
"3 years",51,57,67
"4 years",53,60,68
"5 years",53,61,70
"6 years",54,62,74
"7 years",55,65,81
"8 years",57,68,81
"9 years",58,70,93
"10 years",60,71,98
"11 years",62,77,98
"12 years",63,79,103
"13 years",67,83,110
"14 years",71,86,114
"15 years",72,83,101
"16 years",74,84,111
"17 years",73,89,112
"18 years",-,87,-
"19 years",-,87,-
"20 years and over",79,100,135
"20–29 years",76,89,124
"30–39 years",78,97,135
"40–49 years",81,101,135
"50–59 years",84,108,141
"60–69 years",85,109,138
"70–79 years",86,108,137
"80 years and over",86,106,127
