| Age   | Adult weight (5th) | Adult weight (50th) | Adult weight (95th) |
| ----- | ------------------ | ------------------- | ------------------- |
| 0     | 4                  | 6                   | 7                   |
| 2m    | 8                  | 9                   | 10                  |
| 3m    | 9                  | 10                  | 12                  |
| 4m    | 9                  | 11                  | 13                  |
| 5m    | 10                 | 11                  | 14                  |
| 6m    | 11                 | 12                  | 14                  |
| 7m    | 10                 | 12                  | 15                  |
| 8m    | 11                 | 13                  | 15                  |
| 9m    | 12                 | 14                  | 16                  |
| 10m   | 12                 | 14                  | 17                  |
| 11m   | 12                 | 14                  | 17                  |
| 1     | 15                 | 17                  | 20                  |
| 2     | 17                 | 20                  | 25                  |
| 3     | 19                 | 24                  | 30                  |
| 4     | 21                 | 27                  | 34                  |
| 5     | 23                 | 31                  | 40                  |
| 6     | 26                 | 33                  | 47                  |
| 7     | 28                 | 37                  | 60                  |
| 8     | 30                 | 44                  | 61                  |
| 9     | 35                 | 49                  | 77                  |
| 10    | 36                 | 55                  | 87                  |
| 11    | 41                 | 66                  | 94                  |
| 12    | 48                 | 72                  | 107                 |
| 13    | 53                 | 82                  | 124                 |
| 14    | 67                 | 83                  | 128                 |
| 15    | 66                 | 85                  | 119                 |
| 16    | 72                 | 86                  | 125                 |
| 17    | 66                 | 93                  | 125                 |
| 18    | \-                 | 89                  | \-                  |
| 19    | \-                 | 93                  | \-                  |
| 20+   | 74                 | 100                 | 157                 |
| 20–29 | 72                 | 93                  | 151                 |
| 30–39 | 74                 | 100                 | 162                 |
| 40–49 | 76                 | 105                 | 160                 |
| 50–59 | 79                 | 109                 | 167                 |
| 60–69 | 76                 | 105                 | 154                 |
| 70–79 | 70                 | 99                  | 149                 |
| 80+   | 64                 | 92                  | 130                 |
