Age,"Adult weight (5th)","Adult weight (50th)","Adult weight (95th)"
birth,4,5,6
"2 months",7,9,10
"3 months",7,9,11
"4 months",8,9,11
"5 months",9,10,12
"6 months",9,11,14
"7 months",9,11,13
"8 months",10,12,14
"9 months",11,12,14
"10 months",10,12,15
"11 months",11,13,15
"1 year",13,15,17
"2 years",15,17,21
"3 years",16,20,24
"4 years",18,22,28
"5 years",20,25,32
"6 years",21,28,38
"7 years",24,32,45
"8 years",27,35,54
"9 years",30,40,66
"10 years",31,46,68
"11 years",36,50,76
"12 years",39,61,85
"13 years",42,66,94
"14 years",55,76,101
"15 years",55,80,122
"16 years",60,83,109
"17 years",66,88,118
"18 years",63,85,122
"19 years",66,90,116
"20 years and over",75,100,139
"20–29 years",73,94,135
"30–39 years",78,103,141
"40–49 years",77,106,146
"50–59 years",80,103,143
"60–69 years",77,98,135
"70–79 years",74,89,130
"80 years and over",65,100,117
