| Age   | Adult weight (5th) | Adult weight (50th) | Adult weight (95th) |
| ----- | ------------------ | ------------------- | ------------------- |
| 0     | 4                  | 5                   | 6                   |
| 2m    | 7                  | 9                   | 10                  |
| 3m    | 7                  | 9                   | 11                  |
| 4m    | 8                  | 9                   | 11                  |
| 5m    | 9                  | 10                  | 12                  |
| 6m    | 9                  | 11                  | 14                  |
| 7m    | 9                  | 11                  | 13                  |
| 8m    | 10                 | 12                  | 14                  |
| 9m    | 11                 | 12                  | 14                  |
| 10m   | 10                 | 12                  | 15                  |
| 11m   | 11                 | 13                  | 15                  |
| 1     | 13                 | 15                  | 17                  |
| 2     | 15                 | 17                  | 21                  |
| 3     | 16                 | 20                  | 24                  |
| 4     | 18                 | 22                  | 28                  |
| 5     | 20                 | 25                  | 32                  |
| 6     | 21                 | 28                  | 38                  |
| 7     | 24                 | 32                  | 45                  |
| 8     | 27                 | 35                  | 54                  |
| 9     | 30                 | 40                  | 66                  |
| 10    | 31                 | 46                  | 68                  |
| 11    | 36                 | 50                  | 76                  |
| 12    | 39                 | 61                  | 85                  |
| 13    | 42                 | 66                  | 94                  |
| 14    | 55                 | 76                  | 101                 |
| 15    | 55                 | 80                  | 122                 |
| 16    | 60                 | 83                  | 109                 |
| 17    | 66                 | 88                  | 118                 |
| 18    | 63                 | 85                  | 122                 |
| 19    | 66                 | 90                  | 116                 |
| 20+   | 75                 | 100                 | 139                 |
| 20–29 | 73                 | 94                  | 135                 |
| 30–39 | 78                 | 103                 | 141                 |
| 40–49 | 77                 | 106                 | 146                 |
| 50–59 | 80                 | 103                 | 143                 |
| 60–69 | 77                 | 98                  | 135                 |
| 70–79 | 74                 | 89                  | 130                 |
| 80+   | 65                 | 100                 | 117                 |
