Age,Mean
"2–2.49 years",16.26
"2.5–2.99 years",16.09
"3.0–3.49 years",15.92
"3.5–3.99 years",15.63
"4.0–4.49 years",15.72
"4.5–4.99 years",15.63
"5.0–5.49 years",15.64
"5.5–5.99 years",15.78
"6.0–6.49 years",15.48
"6.5–6.99 years",15.49
"7.0–7.49 years",15.7
"7.5–7.99 years",15.89
"8.0–8.49 years",16.19
"8.5–8.99 years",16.56
"9.0–9.49 years",17.02
"9.5–9.99 years",17.41
"10.0–10.49 years",17.31
"10.5–10.99 years",17.56
"11.0–11.49 years",18.35
"11.5–11.99 years",18.8
"12.0–12.49 years",18.99
"12.5–12.99 years",19.63
"13.0–13.49 years",19.96
"13.5–13.99 years",20.37
"14.0–14.49 years",20.75
"14.5–14.99 years",21.17
"15.0–15.49 years",20.9
"15.5–15.99 years",21.19
"16.0–16.49 years",21.66
"16.5–16.99 years",21.91
"17.0–17.49 years",21.98
"17.5–17.99 years",22.53
"18.0–18.49 years",21.94
"18.5–18.99 years",21.8
"19.0–19.49 years",22.03
"19.5–19.99 years",23.03
