| Age       | Mean   |
| --------- | ------ |
| 2.0-2.4   | 87.73  |
| 2.5-2.9   | 81.82  |
| 3.0-3.4   | 95.75  |
| 3.5-3.9   | 99.67  |
| 4.0-4.4   | 103.05 |
| 4.5-4.9   | 105.98 |
| 5.0-5.4   | 109.87 |
| 5.5-5.9   | 113.77 |
| 6.0-6.4   | 116.46 |
| 6.5-6.9   | 119.3  |
| 7.0-7.4   | 122.52 |
| 7.5-7.9   | 125.27 |
| 8.0-8.4   | 128.29 |
| 8.5-8.9   | 131.41 |
| 9.0-9.4   | 134.3  |
| 9.5-9.9   | 136.83 |
| 10.0-10.4 | 139.85 |
| 10.5-10.9 | 142.88 |
| 11.0-11.4 | 146.64 |
| 11.5-11.9 | 149.91 |
| 12.0-12.4 | 153.19 |
| 12.5-12.9 | 156.26 |
| 13.0-13.4 | 158.7  |
| 13.5-13.9 | 159.36 |
| 14.0-14.4 | 160.73 |
| 14.5-14.9 | 161.35 |
| 15.0-15.4 | 162.34 |
| 15.5-15.9 | 163.61 |
| 16.0-16.4 | 162.73 |
| 16.5-16.9 | 162.37 |
| 17.0-17.4 | 162.83 |
| 17.5-17.9 | 163.1  |
| 18.0-18.4 | 163.82 |
| 18.5-18.9 | 163.27 |
| 19.0-19.4 | 163.3  |
| 19.5-19.9 | 163.33 |
