| Length  | Mean  |
| ------- | ----- |
| 45–46   | 2.68  |
| 47–48   | 3.04  |
| 49–50   | 3.36  |
| 51–52   | 3.59  |
| 45–46   | 2.53  |
| 47–48   | 2.95  |
| 49–50   | 3.3   |
| 51–52   | 3.53  |
| 65–66   | 7.59  |
| 67–68   | 8.28  |
| 69–70   | 8.73  |
| 71–72   | 9.25  |
| 73–74   | 9.74  |
| 75–76   | 10.17 |
| 77–78   | 10.59 |
| 79–80   | 11.24 |
| 81–82   | 11.53 |
| 83–84   | 11.88 |
| 85–86   | 12.31 |
| 87–88   | 12.67 |
| 89–90   | 13.19 |
| 91–92   | 13.54 |
| 93–94   | 14.04 |
| 95–96   | 14.59 |
| 97–98   | 15.25 |
| 99–100  | 15.64 |
| 101–102 | 16.2  |
