| Length  | Mean  |
| ------- | ----- |
| 45–46   | 2.73  |
| 47–48   | 3.04  |
| 49–50   | 3.36  |
| 51–52   | 3.59  |
| 45–46   | 2.58  |
| 47–48   | 2.97  |
| 49–50   | 3.28  |
| 51–52   | 3.5   |
| 65–66   | 7.48  |
| 67–68   | 8.34  |
| 69–70   | 8.61  |
| 71–72   | 8.87  |
| 73–74   | 9.5   |
| 75–76   | 9.77  |
| 77–78   | 10.21 |
| 79–80   | 10.54 |
| 81–82   | 11.08 |
| 83–84   | 11.49 |
| 85–86   | 11.92 |
| 87–88   | 12.38 |
| 89–90   | 12.9  |
| 91–92   | 13.31 |
| 93–94   | 13.83 |
| 95–96   | 14.24 |
| 97–98   | 15.13 |
| 99–100  | 15.87 |
| 101–102 | 16.24 |
