"Stature interval",Mean
"77–78 centimeters",11
"79–80 centimeters",10.15
"81–82 centimeters",11.32
"83–84 centimeters",11.55
"85–86 centimeters",11.92
"87–88 centimeters",12.37
"89–90 centimeters",13
"91–92 centimeters",13.47
"93–94 centimeters",13.99
"95–96 centimeters",14.67
"97–98 centimeters",14.94
"99–100 centimeters",15.78
"101–102 centimeters",16.27
"103–104 centimeters",16.92
"105–106 centimeters",17.41
"107–108 centimeters",18.17
"109–110 centimeters",18.58
"111–112 centimeters",19.6
"113–114 centimeters",20.36
"115–116 centimeters",21.42
"117–118 centimeters",21.5
"119–120 centimeters",22.65
