| Age     | 3rd   | 5th  | 10th | 25th  | 50th  | 75th  | 90th | 95th | 97th |
| ------- | ----- | ---- | ---- | ----- | ----- | ----- | ---- | ---- | ---- |
| 0       | 31.75 | 32   | 33   | 34.29 | 35.56 | 37.07 | 38.5 | 39   | 39.3 |
| 2m      | 36.4  | 38.6 | 39.2 | 40.2  | 40.9  | 41.4  | 42.4 | 42.8 | 42.9 |
| 3m      | 38.9  | 39.7 | 40.2 | 41.1  | 41.7  | 42.6  | 43.1 | 43.1 | 43.3 |
| 4m      | 39.9  | 40   | 40.8 | 41.5  | 42.1  | 42.8  | 43.8 | 44   | 44.3 |
| 6m      | 40.2  | 40.8 | 41.8 | 42.3  | 43.4  | 44.5  | 45.2 | 46   | 46.4 |
| 6m      | 42.2  | 42.4 | 42.6 | 43.2  | 44    | 44.9  | 46.1 | 46.8 | 47.2 |
| 7m      | 42    | 42.2 | 42.8 | 43.6  | 44.4  | 45.6  | 46.3 | 46.7 | 47.6 |
| 8m      | 42.6  | 42.7 | 43.2 | 44.5  | 45.3  | 46.2  | 47.4 | 47.7 | 48.1 |
| 9m      | 43.2  | 43.6 | 43.7 | 44.7  | 45.4  | 46.2  | 46.8 | 47.4 | 47.7 |
| 10m     | 43.2  | 43.7 | 43.7 | 44.7  | 45.7  | 46.4  | 47.3 | 47.6 | 48.2 |
| 11m     | 44.1  | 44.3 | 44.8 | 45.2  | 46.3  | 47.2  | 48   | 48.4 | 48.8 |
| 12m-14m | 44.4  | 44.7 | 45.3 | 46.2  | 47    | 47.8  | 48.6 | 49.4 | 49.9 |
| 15m-17m | 45    | 45.7 | 46.1 | 46.7  | 47.5  | 48.5  | 49.1 | 49.9 | 50.2 |
| 18m-20m | 45.2  | 45.5 | 46.2 | 47.2  | 48    | 48.9  | 49.7 | 50.1 | 50.4 |
| 21m-23m | 46    | 46.3 | 46.7 | 47.6  | 48.3  | 49.5  | 50.1 | 50.5 | 51.3 |
| 24m-29m | 46.1  | 46.4 | 47   | 48.1  | 49    | 49.9  | 50.7 | 51.2 | 51.6 |
| 30m-35m | 46.2  | 47   | 47.5 | 48.5  | 49.5  | 50.4  | 51.2 | 52   | 52.2 |
