Age,3rd,5th,10th,25th,50th,75th,90th,95th,97th
"2–2.49 years",80,82,82.9,85.2,87.6,90.2,93.1,94.6,94.9
"2.5–2.99 years",85,85.8,87,89.1,91.9,94.2,96.8,97.8,98.8
"3.0–3.49 years",88.3,89.1,90.8,93.4,95.7,98.3,100.8,102.9,103.5
"3.5–3.99 years",92.4,93.2,94.7,97,99.3,102.4,104.9,106.3,107.8
"4.0–4.49 years",94.8,95.7,97.2,99.8,103.2,106.3,108.4,110.2,111.5
"4.5–4.99 years",97.4,97.7,99.7,102.7,105.6,109.3,112.2,113.9,115
"5.0–5.49 years",101.1,101.9,104.1,107,109.9,113.1,115.5,117.2,118.8
"5.5–5.99 years",103.9,105.2,107.1,110.5,113.6,117,120.5,122.8,125.3
"6.0–6.49 years",106.8,107.9,109.8,112.6,116,120.1,123.8,125.1,126.9
"6.5–6.99 years",109.3,110.1,111.8,115.4,119,122.9,126.5,128.8,129.9
"7.0–7.49 years",112.8,113.8,116.2,118.6,122,126,128.9,131.4,133.7
"7.5–7.99 years",114.4,116.2,117.9,121.2,125.2,129.4,133.1,136.5,138.2
"8.0–8.49 years",117.8,118.5,120.6,124.3,128.7,132,135.6,138,138.6
"8.5–8.99 years",120.3,122,124.6,127.6,131.8,135.3,138.7,140.7,141.3
"9.0–9.49 years",122.3,123.6,126.4,129.6,134.5,139,142.5,146.3,148.6
"9.5–9.99 years",124.8,127,128.4,132.6,136.5,141,145,148.4,149.3
"10.0–10.49 years",127.5,129.2,131.5,135.2,139.8,144.3,148.4,152,152.7
"10.5–10.99 years",129.4,130.5,133.8,138.4,142.5,147.4,152.2,155,156.8
"11.0–11.49 years",132.8,134.5,136.4,141.6,147,152.2,155.8,157.8,159.4
"11.5–11.99 years",135.7,138.7,140.6,144.2,149.7,155.2,159.9,164.5,165.5
"12.0–12.49 years",138.2,141,143.9,148.1,153.4,158.4,162.8,165.7,167
"12.5–12.99 years",143,144.6,147.5,151.9,156.5,160.7,165,166.3,168.4
"13.0–13.49 years",145.1,147.5,150,154.4,158.9,163.2,166.7,169.5,170.4
"13.5–13.99 years",147.6,149.5,150.9,155.5,159.3,163.2,167,169.9,172.3
"14.0–14.49 years",149.8,150.8,152.6,156.3,161,165,169.4,171.9,172.7
"14.5–14.99 years",148.4,150.2,152.8,156.7,161.6,166.2,169.9,172.4,174.1
"15.0–15.49 years",150.9,151.9,154.2,158.3,162.2,166.5,170.6,173.5,176
"15.5–15.99 years",151.7,153.1,155.4,159.2,164,167.8,171.2,173.9,175.5
"16.0–16.49 years",151.2,151.9,155.2,158.5,162.8,166.4,171.2,172.6,174.3
"16.5–16.99 years",150.1,151.6,154.4,158.3,162.5,166.4,170.9,173,174.2
"17.0–17.49 years",151.4,153.2,155,158.4,162.2,167,171.9,174,176.3
"17.5–17.99 years",150.3,151.8,154.9,159.3,163.3,167,171,172.8,175.6
"18.0–18.49 years",151.5,153.7,155.3,159.4,164.3,167.5,172.6,174.9,177
"18.5–18.99 years",150.3,152.4,154.9,159.1,163.7,167,170.7,173.6,174.2
"19.0–19.49 years",151.2,153.3,156.2,160.2,163.5,167.3,169.7,171.7,172.8
"19.5–19.99 years",151.9,154.2,155.3,158.6,163.5,167.4,171.7,174,175.9
