| Age       | 3rd   | 5th   | 10th  | 25th  | 50th  | 75th  | 90th  | 95th   | 97th   |
| --------- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ------ | ------ |
| 2.0-2.4   | 10.55 | 10.89 | 11.33 | 12.05 | 12.93 | 14.06 | 15.08 | 15.77  | 16.67  |
| 2.5-2.9   | 11.23 | 11.57 | 12.02 | 13    | 13.83 | 14.74 | 15.95 | 16.56  | 17.3   |
| 3.0-3.4   | 12.05 | 12.47 | 12.93 | 13.83 | 14.95 | 16.15 | 17.35 | 18     | 18.45  |
| 3.5-3.9   | 13.04 | 13.38 | 13.95 | 14.95 | 15.8  | 17.1  | 18.26 | 19.39  | 20.07  |
| 4.0-4.4   | 13.49 | 13.75 | 14.7  | 15.75 | 17.01 | 18.4  | 19.7  | 21     | 22.23  |
| 4.5-4.9   | 14.06 | 14.52 | 15.35 | 16.56 | 17.92 | 19.39 | 20.98 | 22.2   | 23.02  |
| 5.0-5.4   | 15.31 | 15.76 | 16.22 | 17.58 | 19.16 | 20.9  | 22.34 | 24.1   | 25.86  |
| 5.5-5.9   | 15.9  | 16.44 | 17.12 | 18.37 | 20.25 | 22.05 | 24.04 | 25.85  | 27.1   |
| 6.0-6.4   | 16.67 | 17.24 | 17.69 | 19.62 | 21.32 | 22.91 | 25.51 | 28.12  | 28.92  |
| 6.5-6.9   | 17.24 | 18.14 | 19.05 | 20.41 | 22.11 | 24.38 | 27.67 | 30.05  | 31.52  |
| 7.0-7.4   | 18.26 | 18.82 | 19.73 | 21.32 | 23.81 | 26.08 | 28.35 | 30.5   | 32.89  |
| 7.5-7.9   | 19.05 | 19.96 | 21.21 | 22.91 | 25.29 | 27.44 | 30.73 | 33.91  | 34.47  |
| 8.0-8.4   | 19.05 | 20.41 | 22    | 23.59 | 25.63 | 28.58 | 31.52 | 35.27  | 36.51  |
| 8.5-8.9   | 21.55 | 22.68 | 23.59 | 25.17 | 27.67 | 30.5  | 34.02 | 37.19  | 39.8   |
| 9.0-9.4   | 21.89 | 22.91 | 23.81 | 26.08 | 29.37 | 33.11 | 39.01 | 42.18  | 44.45  |
| 9.5-9.9   | 23.02 | 24.15 | 25.4  | 27.33 | 30.73 | 34.25 | 40.37 | 43.55  | 47.4   |
| 10.0-10.4 | 24.38 | 25.29 | 26.42 | 29.14 | 32.55 | 36.63 | 41.05 | 45.13  | 50.69  |
| 10.5-10.9 | 26.54 | 27.56 | 28.24 | 30.73 | 34.47 | 39.24 | 45.59 | 53.41  | 55.34  |
| 11.0-11.4 | 26.76 | 28.01 | 29.03 | 32.77 | 36.29 | 40.94 | 48.76 | 52.05  | 52.84  |
| 11.5-11.9 | 28.35 | 28.69 | 31.07 | 34.02 | 37.65 | 44.68 | 54.32 | 61.01  | 64.68  |
| 12.0-12.4 | 29.03 | 30.5  | 31.75 | 35.83 | 40.14 | 46.83 | 54.21 | 59.65  | 63.16  |
| 12.5-12.9 | 30.39 | 31.98 | 33.68 | 38.1  | 43.32 | 49.22 | 57.15 | 64.07  | 67.59  |
| 13.0-13.4 | 33.79 | 34.02 | 36.4  | 39.92 | 46.38 | 54.2  | 62.03 | 68.95  | 73.6   |
| 13.5-13.9 | 34.93 | 36.06 | 37.54 | 44.11 | 49.89 | 58.51 | 66.34 | 71.1   | 74.84  |
| 14.0-14.4 | 37.87 | 39.01 | 42.64 | 47.63 | 53.52 | 61.92 | 68.04 | 72.69  | 76.88  |
| 14.5-14.9 | 40.37 | 41.62 | 44.45 | 50.58 | 56.81 | 63.05 | 72.8  | 78.59  | 86.07  |
| 15.0-15.4 | 42.18 | 43.54 | 47.85 | 51.94 | 57.72 | 64.98 | 71.89 | 77.34  | 80.17  |
| 15.5-15.9 | 43.54 | 46.72 | 50.35 | 56.02 | 61.35 | 67.93 | 75.75 | 85.73  | 90.38  |
| 16.0-16.4 | 47.85 | 50.46 | 53.07 | 55.91 | 62.71 | 69.17 | 78.47 | 89.58  | 94.24  |
| 16.5-16.9 | 50.35 | 51.03 | 55    | 59.42 | 66.11 | 74.96 | 82.21 | 88.68  | 91.06  |
| 17.0-17.4 | 49.44 | 50.92 | 53.75 | 60.1  | 65.66 | 72.8  | 83.8  | 92.31  | 96.05  |
| 17.5-17.9 | 50.46 | 52.16 | 55.11 | 60.56 | 66.22 | 73.82 | 81.42 | 90.38  | 93.33  |
| 18.0-18.4 | 54.09 | 55.34 | 57.83 | 62.71 | 71.21 | 78.25 | 89.13 | 102.85 | 106.37 |
| 18.5-18.9 | 52.84 | 53.75 | 57.04 | 63.16 | 69.85 | 77.34 | 89.02 | 93.78  | 96.5   |
| 19.0-19.4 | 55.11 | 55.91 | 59.42 | 64.41 | 70.76 | 77.79 | 86.98 | 92.19  | 95.82  |
| 19.5-19.9 | 54.88 | 55.68 | 57.38 | 64.07 | 70.31 | 78.02 | 87.66 | 99.22  | 102.85 |
