Age,"Standard deviation"
"2–2.49 years",4.03
"2.5–2.99 years",3.76
"3.0–3.49 years",3.97
"3.5–3.99 years",4.21
"4.0–4.49 years",4.54
"4.5–4.99 years",4.88
"5.0–5.49 years",4.7
"5.5–5.99 years",5.37
"6.0–6.49 years",5.39
"6.5–6.99 years",5.66
"7.0–7.49 years",5.48
"7.5–7.99 years",6.36
"8.0–8.49 years",5.83
"8.5–8.99 years",5.88
"9.0–9.49 years",6.96
"9.5–9.99 years",6.76
"10.0–10.49 years",6.98
"10.5–10.99 years",7.04
"11.0–11.49 years",7.53
"11.5–11.99 years",7.89
"12.0–12.49 years",7.48
"12.5–12.99 years",6.89
"13.0–13.49 years",6.8
"13.5–13.99 years",6.33
"14.0–14.49 years",6.4
"14.5–14.99 years",6.74
"15.0–15.49 years",6.37
"15.5–15.99 years",6.32
"16.0–16.49 years",6.16
"16.5–16.99 years",6.45
"17.0–17.49 years",6.64
"17.5–17.99 years",6.15
"18.0–18.49 years",6.77
"18.5–18.99 years",6.24
"19.0–19.49 years",5.55
"19.5–19.99 years",6.29
