Age,"Standard deviation"
"2–2.49 years",1.54
"2.5–2.99 years",1.7
"3.0–3.49 years",2.02
"3.5–3.99 years",2.09
"4.0–4.49 years",2.53
"4.5–4.99 years",3.21
"5.0–5.49 years",3.13
"5.5–5.99 years",3.8
"6.0–6.49 years",3.39
"6.5–6.99 years",3.84
"7.0–7.49 years",3.95
"7.5–7.99 years",4.67
"8.0–8.49 years",4.69
"8.5–8.99 years",6.13
"9.0–9.49 years",6.21
"9.5–9.99 years",7.87
"10.0–10.49 years",7.51
"10.5–10.99 years",7.57
"11.0–11.49 years",8.79
"11.5–11.99 years",10.69
"12.0–12.49 years",9.85
"12.5–12.99 years",10.21
"13.0–13.49 years",11.46
"13.5–13.99 years",11.17
"14.0–14.49 years",11.19
"14.5–14.99 years",10.92
"15.0–15.49 years",11.2
"15.5–15.99 years",10.57
"16.0–16.49 years",10.94
"16.5–16.99 years",11.44
"17.0–17.49 years",12.9
"17.5–17.99 years",11.4
"18.0–18.49 years",11.76
"18.5–18.99 years",9.36
"19.0–19.49 years",11.44
"19.5–19.99 years",11.98
