| Length  | Standard deviation |
| ------- | ------------------ |
| 45–46   | 0.38               |
| 47–48   | 0.36               |
| 49–50   | 0.36               |
| 51–52   | 0.35               |
| 45–46   | 0.39               |
| 47–48   | 0.39               |
| 49–50   | 0.37               |
| 51–52   | 0.36               |
| 65–66   | 0.7                |
| 67–68   | 0.91               |
| 69–70   | 0.77               |
| 71–72   | 0.76               |
| 73–74   | 0.78               |
| 75–76   | 0.76               |
| 77–78   | 0.86               |
| 79–80   | 1.98               |
| 81–82   | 0.94               |
| 83–84   | 1.12               |
| 85–86   | 1.03               |
| 87–88   | 1.04               |
| 89–90   | 1.22               |
| 91–92   | 1.04               |
| 93–94   | 0.94               |
| 95–96   | 1.16               |
| 97–98   | 1.26               |
| 99–100  | 1.14               |
| 101–102 | 1.14               |
