"Stature interval","Standard deviation"
"77–78 centimeters",0
"79–80 centimeters",0.86
"81–82 centimeters",0.9
"83–84 centimeters",1.25
"85–86 centimeters",0.9
"87–88 centimeters",0.91
"89–90 centimeters",1
"91–92 centimeters",1.02
"93–94 centimeters",1.13
"95–96 centimeters",1.14
"97–98 centimeters",1.41
"99–100 centimeters",1.2
"101–102 centimeters",1.33
"103–104 centimeters",1.25
"105–106 centimeters",1.58
"107–108 centimeters",1.8
"109–110 centimeters",1.83
"111–112 centimeters",2.81
"113–114 centimeters",2.12
"115–116 centimeters",2.35
"117–118 centimeters",2.09
"119–120 centimeters",2.67
