| Stature | Standard deviation |
| ------- | ------------------ |
| 77–78   | 0.96               |
| 79–80   | 0.59               |
| 81–82   | 1.5                |
| 83–84   | 1.01               |
| 85–86   | 0.86               |
| 87–88   | 1.02               |
| 89–90   | 1.13               |
| 91–92   | 1.14               |
| 93–94   | 1.12               |
| 95–96   | 1.41               |
| 97–98   | 1.37               |
| 99–100  | 1.68               |
| 101–102 | 1.76               |
| 103–104 | 2.11               |
| 105–106 | 1.74               |
| 107–108 | 1.71               |
| 109–110 | 1.86               |
| 111–112 | 3.02               |
| 113–114 | 2.54               |
| 115–116 | 3.23               |
| 117–118 | 2.04               |
| 119–120 | 2.84               |
