Age,"Northeast : Mean","Northeast : standard error","Northeast : standard deviation","Midwest : Mean","Midwest : standard error","Midwest : standard deviation","South : Mean","South : standard error","South : standard deviation","West : Mean","West : standard error","West : standard deviation"
"7-74 years",122.8,1.15,24.2,122.5,0.79,22.6,127.7,0.89,25.2,120.7,0.99,22
"7-11 years",101,1.75,12.3,103.2,1.25,10.2,107.4,1.67,12.3,102.2,2.3,13.6
"12-17 years",109.7,0.91,12.5,112.1,1.03,13.2,114.5,1.69,13.9,111.7,1.01,13.6
"18-24 years",113,1.34,13.6,116.6,1.21,11.8,116.3,1.41,13.2,113.3,0.89,13.2
"25-34 years",114.9,0.99,13,117.7,1.05,14.5,119,0.79,14.4,115.2,0.58,14
"35-44 years",122.4,1.12,20,123.6,1.16,18.4,127.2,1.67,20.3,121.4,1.35,17.6
"45-54 years",132.3,3.12,22.7,130.6,2.16,21.5,140.7,2.24,29.2,128.2,1.87,21.6
"55-64 years",144.3,1.73,24.1,142.1,2.26,29.6,147.8,1.63,23,141.6,1.99,25
"65-74 years",152.2,2.44,26.9,151.7,1.7,24.2,155.8,1.96,26.6,149.8,1.51,22.4
"Age-adjusted value",122,,,123.2,,,127,,,121.3,,
