"Table 124. Lutein/Zeaxanthin intake in micrograms by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXE",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29103,1752,44,970
"Under 6 years",6871,975,32.2,629
"6–11 years",3134,1244,59.4,792
"12–19 years",3119,1291,52.7,835
"20–59 years",10940,1956,68.8,1061
"60 years and over",5039,2078,72.2,1121
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,1770,116.2,816
"Under 6 years",3145,1050,59.7,635
"6–11 years",1446,1285,89.9,815
"12–19 years",1345,1358,88,843
"20–59 years",3329,2175,236.5,922
"60 years and over",1431,2097,150,837
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15770,1735,43.6,1010
"Under 6 years",3128,947,34.2,635
"6–11 years",1439,1220,70.9,799
"12–19 years",1469,1232,54,821
"20–59 years",6710,1902,66.5,1097
"60 years and over",3024,2045,74.1,1189
,,,,
"MALES -------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13922,1833,48.2,1049
"Under 6 years",3410,976,40.6,633
"6–11 years",1581,1232,60.5,824
"12–19 years",1461,1424,70.5,981
"20–59 years",5019,2078,82,1192
"60 years and over",2451,2169,85.1,1170
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,1745,65.8,863
"Under 6 years",1564,1042,56.4,659
"6–11 years",713,1340,111.8,879
"12–19 years",634,1323,117.2,843
"20–59 years",1390,2166,137.3,1045
"60 years and over",628,2265,266.4,763
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7769,1859,61.8,1095
"Under 6 years",1548,950,49,632
"6–11 years",746,1204,69.9,814
"12–19 years",673,1438,77.3,996
"20–59 years",3226,2066,101,1228
"60 years and over",1576,2148,95.8,1224
,,,,
"FEMALES --------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15181,1676,57.4,886
"Under 6 years",3461,974,42.9,628
"6–11 years",1553,1256,88.2,758
"12–19 years",1658,1156,56.4,711
"20–59 years",5921,1840,90.5,977
"60 years and over",2588,2010,81.4,1051
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,1791,199,788
"Under 6 years",1581,1058,101.5,617
"6–11 years",733,1234,102,743
"12–19 years",711,1388,113.5,800
"20–59 years",1939,2181,407.5,840
"60 years and over",803,2013,181.1,877
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,1611,42,924
"Under 6 years",1580,944,40.7,639
"6–11 years",693,1239,111.2,769
"12–19 years",796,1018,51.3,700
"20–59 years",3484,1739,60.4,1002
"60 years and over",1448,1955,83.7,1142
