"Table 132. Crude fiber intake in grams by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,4.1,0.04,3.4
"Under 6 years",6871,2.5,0.05,2.2
"6–11 years",3134,3.4,0.11,2.8
"12–19 years",3121,3.8,0.09,2.9
"20–59 years",10940,4.5,0.05,3.7
"60 years and over",5039,4.5,0.07,3.8
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,3.9,0.1,2.9
"Under 6 years",3145,2.6,0.08,2.1
"6–11 years",1446,3.7,0.19,3
"12–19 years",1345,3.7,0.16,2.8
"20–59 years",3329,4.4,0.15,3.2
"60 years and over",1431,3.8,0.13,3.1
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,4.2,0.04,3.5
"Under 6 years",3128,2.6,0.07,2.3
"6–11 years",1439,3.3,0.11,2.8
"12–19 years",1470,3.7,0.1,3
"20–59 years",6710,4.5,0.05,3.8
"60 years and over",3024,4.6,0.08,4
,,,,
"MALES -------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,4.7,0.05,3.8
"Under 6 years",3410,2.6,0.06,2.3
"6–11 years",1581,3.6,0.13,3
"12–19 years",1462,4.1,0.11,3.3
"20–59 years",5019,5.2,0.06,4.3
"60 years and over",2451,5,0.1,4.2
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,4.4,0.14,3.2
"Under 6 years",1564,2.7,0.09,2.2
"6–11 years",713,3.8,0.18,3.2
"12–19 years",634,3.9,0.18,3
"20–59 years",1390,5.5,0.29,4.2
"60 years and over",628,4.3,0.2,3.3
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,4.7,0.06,3.9
"Under 6 years",1548,2.7,0.07,2.4
"6–11 years",746,3.5,0.17,3
"12–19 years",674,4.1,0.13,3.4
"20–59 years",3226,5.2,0.06,4.5
"60 years and over",1576,5.1,0.12,4.3
,,,,
"FEMALES ----------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,3.6,0.04,3
"Under 6 years",3461,2.4,0.06,2
"6–11 years",1553,3.3,0.13,2.6
"12–19 years",1659,3.4,0.12,2.6
"20–59 years",5921,3.8,0.05,3.2
"60 years and over",2588,4.1,0.07,3.6
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,3.4,0.09,2.7
"Under 6 years",1581,2.5,0.1,2
"6–11 years",733,3.7,0.28,2.8
"12–19 years",711,3.5,0.22,2.5
"20–59 years",1939,3.6,0.11,2.8
"60 years and over",803,3.5,0.14,3
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,3.7,0.04,3.2
"Under 6 years",1580,2.5,0.08,2.1
"6–11 years",693,3.1,0.1,2.6
"12–19 years",796,3.3,0.14,2.7
"20–59 years",3484,3.9,0.06,3.3
"60 years and over",1448,4.2,0.08,3.7
