"Table 130. Caffeine intake in milligrams by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,193,5.5,78
"Under 6 years",6871,10,0.6,1
"6–11 years",3134,26,1.2,12
"12–19 years",3121,70,3.1,47
"20–59 years",10940,266,9.7,144
"60 years and over",5039,219,6.5,139
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,123,7.4,40
"Under 6 years",3145,11,1,1
"6–11 years",1446,25,2,11
"12–19 years",1345,59,4.9,37
"20–59 years",3329,194,12.7,86
"60 years and over",1431,170,18.6,96
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,215,6.4,100
"Under 6 years",3128,9,0.7,1
"6–11 years",1439,27,1.5,12
"12–19 years",1470,73,3.8,50
"20–59 years",6710,283,10.3,165
"60 years and over",3024,237,7.6,160
,,,,
"MALES ---------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,220,8.2,95
"Under 6 years",3410,11,0.7,1
"6–11 years",1581,29,1.7,13
"12–19 years",1462,80,4.9,53
"20–59 years",5019,306,13.8,174
"60 years and over",2451,264,11.3,174
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,135,13.6,45
"Under 6 years",1564,12,1.1,1
"6–11 years",713,28,2.9,12
"12–19 years",634,68,9.2,41
"20–59 years",1390,216,24.4,93
"60 years and over",628,232,48.8,107
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,245,8.9,118
"Under 6 years",1548,10,0.8,1
"6–11 years",746,30,2.2,12
"12–19 years",674,84,5.5,62
"20–59 years",3226,325,14.4,199
"60 years and over",1576,272,11.4,191
,,,,
"FEMALES ---------------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,166,4.2,72
"Under 6 years",3461,10,0.7,1
"6–11 years",1553,23,1.5,9
"12–19 years",1659,60,3.8,39
"20–59 years",5921,227,7.2,121
"60 years and over",2588,185,7.3,118
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,114,5.4,37
"Under 6 years",1581,11,1.1,1
"6–11 years",733,22,2.4,9
"12–19 years",711,51,6.3,30
"20–59 years",1939,177,9.8,77
"60 years and over",803,139,9.1,81
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,185,5.4,85
"Under 6 years",1580,9,0.8,1
"6–11 years",693,24,1.8,9
"12–19 years",796,62,4.6,45
"20–59 years",3484,241,8.6,137
"60 years and over",1448,207,8.9,139
