"Table 104. Galactose intake in grams by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,0.18,0.007,
"Under 6 years",6871,0.11,0.008,
"6–11 years",3134,0.13,0.011,
"12–19 years",3121,0.17,0.012,
"20–59 years",10940,0.2,0.011,
"60 years and over",5039,0.17,0.014,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,0.12,0.008,
"Under 6 years",3145,0.07,0.007,
"6–11 years",1446,0.1,0.011,
"12–19 years",1345,0.14,0.024,
"20–59 years",3329,0.13,0.016,
"60 years and over",1431,0.11,0.025,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,0.19,0.008,
"Under 6 years",3128,0.13,0.012,
"6–11 years",1439,0.14,0.015,
"12–19 years",1470,0.17,0.013,
"20–59 years",6710,0.21,0.013,
"60 years and over",3024,0.18,0.017,
,,,,
"MALES ------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,0.18,0.008,
"Under 6 years",3410,0.11,0.008,
"6–11 years",1581,0.15,0.016,
"12–19 years",1462,0.17,0.019,
"20–59 years",5019,0.2,0.013,
"60 years and over",2451,0.16,0.013,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,0.12,0.015,
"Under 6 years",1564,0.06,0.008,
"6–11 years",713,0.1,0.013,
"12–19 years",634,*0.17,*0.048,
"20–59 years",1390,0.13,0.027,
"60 years and over",628,*0.09,*0.035,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,0.19,0.008,
"Under 6 years",1548,0.13,0.012,
"6–11 years",746,0.17,0.024,
"12–19 years",674,0.17,0.017,
"20–59 years",3226,0.22,0.014,
"60 years and over",1576,0.16,0.014,
,,,,
"FEMALES ----------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,0.17,0.008,
"Under 6 years",3461,0.11,0.01,
"6–11 years",1553,0.11,0.011,
"12–19 years",1659,0.16,0.011,
"20–59 years",5921,0.19,0.013,
"60 years and over",2588,0.18,0.02,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,0.12,0.01,
"Under 6 years",1581,0.08,0.01,
"6–11 years",733,0.11,0.014,
"12–19 years",711,0.12,0.027,
"20–59 years",1939,0.14,0.017,
"60 years and over",803,*0.12,*0.034,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,0.19,0.012,
"Under 6 years",1580,0.13,0.015,
"6–11 years",693,0.11,0.016,
"12–19 years",796,0.18,0.019,
"20–59 years",3484,0.21,0.016,
"60 years and over",1448,0.19,0.027,
