"Table 40. Vitamin E intake in milligrams alpha-tocopherol equivalents by sex, age, and income level: United States, 1988–94",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,9.2,0.19,7.1
"Under 6 years",6871,6.4,0.12,5.1
"6–11 years",3134,7.5,0.22,6.1
"12–19 years",3121,10.1,0.74,7.8
"20–59 years",10940,9.9,0.23,7.9
"60 years and over",5039,8.6,0.24,6.3
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,8.4,0.21,6.3
"Under 6 years",3145,6.8,0.14,5.3
"6–11 years",1446,7.4,0.23,6.1
"12–19 years",1345,9.1,0.28,7.1
"20–59 years",3329,9.2,0.43,6.8
"60 years and over",1431,7.8,0.69,5.4
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,9.5,0.21,7.4
"Under 6 years",3128,6.3,0.16,5
"6–11 years",1439,7.6,0.29,6.2
"12–19 years",1470,10.3,1,7.9
"20–59 years",6710,10.1,0.22,8.1
"60 years and over",3024,8.9,0.26,6.6
,,,,
"MALES ---------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,10.6,0.28,8.3
"Under 6 years",3410,6.6,0.15,5.3
"6–11 years",1581,7.9,0.34,6.6
"12–19 years",1462,11.9,1.36,8.8
"20–59 years",5019,11.6,0.28,9.4
"60 years and over",2451,9.8,0.31,7.2
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,9.5,0.38,7.3
"Under 6 years",1564,6.9,0.2,5.6
"6–11 years",713,8.2,0.39,7
"12–19 years",634,10,0.33,8.6
"20–59 years",1390,11,0.81,8.2
"60 years and over",628,8,0.63,6
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,10.9,0.3,8.6
"Under 6 years",1548,6.5,0.18,5.2
"6–11 years",746,7.9,0.44,6.6
"12–19 years",674,12.6,1.87,8.8
"20–59 years",3226,11.8,0.24,9.7
"60 years and over",1576,10.1,0.35,7.5
,,,,
"FEMALES --------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,7.9,0.15,6.2
"Under 6 years",3461,6.2,0.13,4.9
"6–11 years",1553,7,0.22,5.9
"12–19 years",1659,8.2,0.33,6.5
"20–59 years",5921,8.3,0.21,6.7
"60 years and over",2588,7.7,0.35,5.7
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,7.6,0.2,5.7
"Under 6 years",1581,6.7,0.19,5.2
"6–11 years",733,6.8,0.31,5.7
"12–19 years",711,8.4,0.44,6
"20–59 years",1939,7.8,0.28,6.1
"60 years and over",803,7.6,0.99,5
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,8.1,0.18,6.4
"Under 6 years",1580,6,0.19,4.7
"6–11 years",693,7.2,0.35,5.9
"12–19 years",796,8,0.38,6.6
"20–59 years",3484,8.5,0.25,6.8
"60 years and over",1448,7.8,0.35,6
