Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",46522,100,2657.8
"Consumption (Tuberculosis)",13439,28.9,767.8
"Accidents and injuries",7964,17.1,455
Infectious,7078,15.2,404.4
"Respiratory system",5459,11.7,311.9
"Nervous system",2747,5.9,156.9
"Digestive system",2410,5.2,137.7
"Circulatory system",2170,4.7,124
"Genitourinary system",1775,3.8,101.4
Cancer,363,0.8,20.7
"Bones and joints",125,0.3,7.1
Skin,66,0.1,3.8
"Absorbent system",51,0.1,2.9
"Other causes",2875,6.2,164.2
