Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",85806,100,3127.7
"Consumption (Tuberculosis)",19209,22.4,700.2
"Respiratory system",10640,12.4,387.8
Infectious,10034,11.7,365.8
"Accidents and injuries",7828,9.1,285.3
"Nervous system",6875,8,250.6
"Circulatory system",6814,7.9,248.4
"Genitourinary system",5804,6.8,211.6
"Digestive system",5661,6.6,206.4
Cancer,3591,4.2,130.9
"Affections connected with pregnancy",2306,2.7,84.1
"Bones and joints",226,0.3,8.2
Skin,185,0.2,6.7
"Absorbent system",101,0.1,3.7
"Other causes",6532,7.6,238.1
