"Cause of death",Number
"All causes",3253
"Accidents (unintentional injuries)",1391
"Malignant neoplasms",489
"Congenital malformations, deformations and chromosomal abnormalities",198
"Assault (homicide)",140
"Diseases of heart",106
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior.",62
"Chronic lower respiratory diseases",48
"Influenza and pneumonia",47
Septicemia,38
"Cerebrovascular diseases",25
"Certain conditions originating in the perinatal period",25
"All other causes",684
