"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",240846,100,1004.6
"Malignant neoplasms",89005,37,371.3
"Diseases of heart",63399,26.3,264.5
"Chronic lower respiratory diseases",10739,4.5,44.8
"Cerebrovascular diseases",9956,4.1,41.5
"Diabetes mellitus",9186,3.8,38.3
"Accidents (unintentional injuries)",7505,3.1,31.3
"Chronic liver disease and cirrhosis",5774,2.4,24.1
"Nephritis, nephrotic syndrome and nephrosis",3100,1.3,12.9
"Intentional self-harm (suicide)",2945,1.2,12.3
Septicemia,2899,1.2,12.1
"All other causes",36338,15.1,151.6
