"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",143321,100,1253.5
"Malignant neoplasms",48427,33.8,423.5
"Diseases of heart",43285,30.2,378.6
"Chronic lower respiratory diseases",5564,3.9,48.7
"Cerebrovascular diseases",5496,3.8,48.1
"Accidents (unintentional injuries)",5133,3.6,44.9
"Diabetes mellitus",4943,3.4,43.2
"Chronic liver disease and cirrhosis",4005,2.8,35
"Intentional self-harm (suicide)",2265,1.6,19.8
"Influenza and pneumonia",1680,1.2,14.7
"Nephritis, nephrotic syndrome and nephrosis",1651,1.2,14.4
"All other causes",20872,14.6,182.5
