"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",802369,100,5548.7
"Diseases of heart",263178,32.8,1820
"Malignant neoplasms",202358,25.2,1399.4
"Cerebrovascular diseases",54200,6.8,374.8
"Chronic lower respiratory diseases",51924,6.5,359.1
"Influenza and pneumonia",24709,3.1,170.9
"Diabetes mellitus",22198,2.8,153.5
"Accidents (unintentional injuries)",15115,1.9,104.5
"Nephritis, nephrotic syndrome and nephrosis",14448,1.8,99.9
"Alzheimer’s disease.",14188,1.8,98.1
Septicemia,10085,1.3,69.7
"All other causes",129966,16.2,898.8
