"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",1225773,100,871.6
"Diseases of heart",365953,29.9,260.2
"Malignant neoplasms",267009,21.8,189.9
"Cerebrovascular diseases",102892,8.4,73.2
"Chronic lower respiratory diseases",62005,5.1,44.1
"Diabetes mellitus",37699,3.1,26.8
"Influenza and pneumonia",36655,3,26.1
"Alzheimer’s disease.",35120,2.9,25
"Accidents (unintentional injuries)",34083,2.8,24.2
"Nephritis, nephrotic syndrome and nephrosis",19440,1.6,13.8
Septicemia,17687,1.4,12.6
"All other causes",247230,20.2,175.8
