"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",1177578,100,874.7
"Diseases of heart",344807,29.3,256.1
"Malignant neoplasms",286082,24.3,212.5
"Cerebrovascular diseases",64769,5.5,48.1
"Accidents (unintentional injuries)",63817,5.4,47.4
"Chronic lower respiratory diseases",60004,5.1,44.6
"Diabetes mellitus",31602,2.7,23.5
"Influenza and pneumonia",28658,2.4,21.3
"Intentional self-harm (suicide)",23618,2,17.5
"Nephritis, nephrotic syndrome and nephrosis",17811,1.5,13.2
"Chronic liver disease and cirrhosis",17214,1.5,12.8
"All other causes",239196,20.3,177.7
