"Cause of death","Percent of total deaths"
"All causes",100
"Congenital malformations, deformations and chromosomal abnormalities",19.3
"Disorders related to short gestation and low birth weight, not elsewhere classified",15.2
"Sudden infant death syndrome",9.6
"Newborn affected by maternal complications of pregnancy",5
"Respiratory distress of newborn",4.1
"Newborn affected by complications of placenta, cord and membranes",3.6
"Accidents (unintentional injuries)",3.2
"Bacterial sepsis of newborn",2.8
"Diseases of the circulatory system",2.3
"Intrauterine hypoxia and birth asphyxia",2.2
"All other causes",32.6
