"Cause of death",Number
"All causes",18776
"Disorders related to short gestation and low birth weight, not elsewhere classified",4318
"Congenital malformations, deformations and chromosomal abnormalities",4144
"Newborn affected by maternal complications of pregnancy",1394
"Newborn affected by complications of placenta, cord and membranes",1049
"Respiratory distress of newborn",929
"Bacterial sepsis of newborn",737
"Intrauterine hypoxia and birth asphyxia",589
"Neonatal hemorrhage",563
Atelectasis,483
"Necrotizing enterocolitis of newborn",313
"All other causes",4257
