"Cause of death","Percent of total deaths"
"All causes",100
"Sudden infant death syndrome",25
"Congenital malformations, deformations and chromosomal abnormalities",17.3
"Accidents (unintentional injuries)",8.5
"Diseases of the circulatory system",4.4
"Assault (homicide)",3.3
Septicemia,3
"Influenza and pneumonia",2.8
"Chronic respiratory disease originating in the perinatal period",2.6
"Gastritis, duodenitis, and noninfective enteritis and colitis",2.4
"Malignant neoplasms",0.9
"All other causes",29.8
