| Age          | Rate |
| ------------ | ---- |
| All ages     | 0.1  |
| Under 1 year | \*   |
| 1-4          | \*   |
| 5-9          | \*   |
| 10-14        | \*   |
| 15-19        | 0.1  |
| 20-24        | 0.2  |
| 25-29        | 0.2  |
| 30-34        | 0.1  |
| 35-39        | \*   |
| 40-44        | 0.1  |
| 45-49        | \*   |
| 50-54        | \*   |
| 55-59        | \*   |
| 60-64        | \*   |
| 65-69        | \*   |
| 70-74        | \*   |
| 75-79        | \*   |
| 80-84        | \*   |
| 85+          | \*   |
| Age-adjusted | 0.1  |
