"Cause of death",Number
"All causes",2403351
"Diseases of heart",710760
"Malignant neoplasms",553091
"Cerebrovascular diseases",167661
"Chronic lower respiratory diseases",122009
"Accidents (unintentional injuries)",97900
"Diabetes mellitus",69301
"Influenza and pneumonia",65313
"Alzheimer’s disease",49558
"Nephritis, nephrotic syndrome and nephrosis"
Septicemia,31224
"Intentional self-harm (suicide)",29350
"Chronic liver disease and cirrhosis ",26552
"Essential (primary) hypertension and hypertensive renal disease",18073
"Assault (homicide)",16765
"Pneumonitis due to solids and liquids",16636
"All other causes",391904
