"Cause of death (male, 1–4 years)",Number,"Percent of total deaths","Death rate"
"All causes",2041,100,25.3
"Accidents (unintentional injuries)",672,32.9,8.3
"Congenital malformations, deformations and chromosomal abnormalities",209,10.2,2.6
"Assault (homicide)",162,7.9,2
"Malignant neoplasms",150,7.3,1.9
"Diseases of heart",72,3.5,0.9
"Influenza and pneumonia",64,3.1,0.8
"Cerebrovascular diseases",30,1.5,0.4
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",29,1.4,0.4
"Certain conditions originating in the perinatal period",25,1.2,0.3
Septicemia,24,1.2,0.3
"All other causes",604,29.6,7.5
