"Cause of death (male, Infants)",Number,"Percent of total deaths","Death rate"
"All causes",11674,100,608.8
"Congenital malformations, deformations and chromosomal abnormalities",2248,19.3,117.2
"Disorders related to short gestation and low birth weight, not elsewhere classified",1964,16.8,102.4
"Accidents (unintentional injuries)",753,6.5,39.3
"Sudden infant death syndrome",709,6.1,37
"Newborn affected by maternal complications of pregnancy",704,6,36.7
"Newborn affected by complications of placenta, cord and membranes",404,3.5,21.1
"Bacterial sepsis of newborn",344,2.9,17.9
"Respiratory distress of newborn",247,2.1,12.9
"Diseases of the circulatory system",227,1.9,11.8
"Necrotizing enterocolitis of newborn",191,1.6,10
"All other causes",3883,33.3,202.5
