"Cause of death (females, 1–4 years)","Death rate (per 100000)"
"All causes",21.2
"Accidents (unintentional injuries)",6.2
"Congenital malformations, deformations and chromosomal abnormalities",2.7
"Malignant neoplasms",1.7
"Assault (homicide)",1.6
"Diseases of heart",0.8
"Influenza and pneumonia",0.8
"Certain conditions originating in the perinatal period",0.4
Septicemia,0.4
"Cerebrovascular diseases",0.3
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",0.3
"All other causes",6.1
