"Cause of death (females, Infants)","Death rate (per 100000)"
"All causes",505.3
"Congenital malformations, deformations and chromosomal abnormalities",112.2
"Disorders related to short gestation and low birth weight, not elsewhere classified",80.9
"Newborn affected by maternal complications of pregnancy.",29.6
"Sudden infant death syndrome",29.5
"Accidents (unintentional injuries).",28
"Newborn affected by complications of placenta, cord and membranes",18.5
"Bacterial sepsis of newborn",14.2
"Diseases of the circulatory system.",9.8
"Respiratory distress of newborn",9.7
"Necrotizing enterocolitis of newborn",8.9
"All other causes",164.1
