"Cause of death (males, Infants)","Death rate (per 100000)"
"All causes",608.8
"Congenital malformations, deformations and chromosomal abnormalities",117.2
"Disorders related to short gestation and low birth weight, not elsewhere classified",102.4
"Accidents (unintentional injuries)",39.3
"Sudden infant death syndrome",37
"Newborn affected by maternal complications of pregnancy",36.7
"Newborn affected by complications of placenta, cord and membranes",21.1
"Bacterial sepsis of newborn",17.9
"Respiratory distress of newborn",12.9
"Diseases of the circulatory system",11.8
"Necrotizing enterocolitis of newborn",10
"All other causes",202.5
