"Cause of death",Rate
"All causes",69.7
"Enterocolitis due to Clostridium difficile",*
Septicemia,0.3
"Viral hepatitis",*
"Human immunodeficiency virus (HIV) disease",0.1
"Malignant neoplasms",3.3
"- Malignant neoplasms of lip, oral cavity and pharynx",*
"- Malignant neoplasm of esophagus",*
"- Malignant neoplasm of stomach",0
"- Malignant neoplasms of colon, rectum and anus",0.1
"- Malignant neoplasms of liver and intrahepatic bile ducts",0.1
"- Malignant neoplasm of pancreas",*
"- Malignant neoplasms of trachea, bronchus and lung",0.1
"- Malignant melanoma of skin",*
"- Malignant neoplasm of breast",*
"- Malignant neoplasm of cervix uteri",*
"- Malignant neoplasm of ovary",*
"- Malignant neoplasm of prostate",*
"- Malignant neoplasms of kidney and renal pelvis",0.1
"- Malignant neoplasm of bladder",*
"- Malignant neoplasms of meninges, brain and other parts of central nervous system",0.5
"- Non-Hodgkin lymphoma",0.2
"- Multiple myeloma and immunoproliferative neoplasms",*
"- Leukemia",0.7
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",0.2
Anemias,0.1
"Diabetes mellitus",0.6
"Nutritional deficiencies",*
Obesity,0.2
"Parkinson disease",*
"Alzheimer disease",*
"Major cardiovascular diseases",2.6
"- Diseases of heart",2
"- Essential hypertension and hypertensive renal disease",*
"- Cerebrovascular diseases",0.4
"- Atherosclerosis",*
"- Aortic aneurysm and dissection",0.1
"Influenza and pneumonia",0.4
"Chronic lower respiratory diseases",0.4
"Pneumonitis due to solids and liquids",0.1
"Chronic liver disease and cirrhosis",0.1
"- Alcoholic liver disease",0.1
"Cholelithiasis and other disorders of gallbladder",*
"Nephritis, nephrotic syndrome and nephrosis",0.2
"Pregnancy, childbirth and the puerperium",0.4
"Certain conditions originating in the perinatal period",*
"Congenital malformations, deformations and chromosomal abnormalities",0.9
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1.2
"Accidents (unintentional injuries)",27.5
"- Motor vehicle accidents",14.1
"- Falls",0.4
"- Accidental discharge of firearms",0.3
"- Accidental drowning and submersion",1
"- Accidental hanging, strangulation, and suffocation",0.3
"- Accidental exposure to smoke, fire and flames",0.2
"- Accidental poisoning and exposure to noxious substances",10.2
"Intentional self–harm (suicide)",13.9
"- Intentional self–harm (suicide) by poisoning",1.1
"- Intentional self–harm (suicide) by hanging, strangulation and suffocation",5
"- Intentional self–harm (suicide) by discharge of firearms",6.6
"Assault (homicide)",11.2
"- Assault (homicide) by discharge of firearms",10.2
"Legal intervention",0.2
"Complications of medical and surgical care",0.1
"Dementia-related causes",*
"Drug-induced deaths",11.5
"- Drug overdose deaths",11.2
"Alcohol-induced deaths",0.4
"Injury by firearms",17.4
