| Age      | Number    |
| -------- | --------- |
| All ages | 328239523 |
| 0-1      | 3783052   |
| 1–4      | 15793631  |
| 5–9      | 20195895  |
| 10–14    | 20798268  |
| 15–19    | 21054570  |
| 20–24    | 21632940  |
| 25–29    | 23509016  |
| 30–34    | 22431305  |
| 35–39    | 21737521  |
| 40–44    | 19921623  |
| 45–49    | 20397751  |
| 50–54    | 20477151  |
| 55–59    | 21877391  |
| 60–64    | 20571146  |
| 65–69    | 17455001  |
| 70–74    | 14028432  |
| 75–79    | 9652665   |
| 80–84    | 6317207   |
| 85+      | 6604958   |
