Age,"Sample size",Mean,"Standard error",Median
"All ages",13922,2340,66.2,917
"2–11 months",815,1888,111.1,467
"1–2 years",1171,1309,103.2,511
"3–5 years",1424,1183,86,532
"6–11 years",1581,1420,126.1,612
"12–15 years",750,1843,412.2,645
"16–19 years",711,1767,261.6,817
"20–29 years",1587,2350,174,981
"30–39 years",1424,2663,236,1216
"40–49 years",1188,2542,189.5,1008
"50–59 years",820,2900,243.5,1128
"60–69 years",1111,3149,164,1255
"70–79 years",783,3005,223.1,1113
"80 years and over",557,3283,323.4,1008
