Age,"Sample size",Mean,"Standard error",Median
"All ages",29103,50.9,0.23,50.8
"2–11 months",1620,52.3,0.31,51.6
"1–2 years",2310,53.6,0.43,53.6
"3–5 years",2941,54.9,0.31,54.7
"6–11 years",3134,53.5,0.28,53.3
"12–15 years",1598,54.2,0.42,54.1
"16–19 years",1521,51.9,0.5,51.8
"20–29 years",3400,50.2,0.46,49.8
"30–39 years",3238,48.7,0.47,48.5
"40–49 years",2503,48.7,0.48,48.2
"50–59 years",1799,49.3,0.46,49.3
"60–69 years",2208,51.1,0.4,50.6
"70–79 years",1678,51.8,0.46,51.9
"80 years and over",1153,54,0.4,53.5
