Age,"Sample size",Mean,"Standard error",Median
"All ages",13922,11.7,0.09,11.6
"2–11 months",815,15.8,0.17,16
"1–2 years",1171,13.2,0.23,13
"3–5 years",1424,12.3,0.17,12.2
"6–11 years",1581,12.6,0.16,12.4
"12–15 years",750,11.9,0.23,12.1
"16–19 years",711,12,0.2,11.9
"20–29 years",1587,11.5,0.18,11.5
"30–39 years",1424,11.6,0.16,11.4
"40–49 years",1188,11.2,0.17,11
"50–59 years",820,11.4,0.24,11.4
"60–69 years",1111,10.9,0.18,10.7
"70–79 years",783,11.1,0.19,10.9
"80 years and over",557,11.1,0.19,10.7
