Age,"Sample size",Mean,"Standard error",Median
"All ages",13922,33.8,0.22,34.1
"2–11 months",815,37.2,0.31,37.9
"1–2 years",1171,32.8,0.38,33.2
"3–5 years",1424,32.7,0.38,33.1
"6–11 years",1581,33.8,0.33,33.9
"12–15 years",750,33.1,0.51,33.3
"16–19 years",711,34,0.48,34.1
"20–29 years",1587,33.4,0.41,34.3
"30–39 years",1424,34.6,0.44,35
"40–49 years",1188,34,0.5,34.2
"50–59 years",820,34.5,0.5,35.2
"60–69 years",1111,32.8,0.48,33
"70–79 years",783,33.3,0.43,33.6
"80 years and over",557,32.6,0.41,33.2
