Age,"Sample size",Mean,"Standard error",Median
"All ages",15181,15,0.09,14.5
"2–11 months",805,10.9,0.16,9.6
"1–2 years",1139,15,0.18,14.7
"3–5 years",1517,14.3,0.14,14
"6–11 years",1553,14.7,0.18,14.3
"12–15 years",848,13.2,0.24,13
"16–19 years",810,13.9,0.26,13.6
"20–29 years",1813,14.4,0.2,13.8
"30–39 years",1814,15.2,0.19,14.5
"40–49 years",1315,15.3,0.23,14.7
"50–59 years",979,16.2,0.23,15.6
"60–69 years",1097,16.3,0.2,15.6
"70–79 years",895,16.4,0.23,15.7
"80 years and over",596,15.8,0.23,15.3
