| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.09           |
| 2–11 months       | 0.16           |
| 1–2 years         | 0.18           |
| 3–5 years         | 0.14           |
| 6–11 years        | 0.18           |
| 12–15 years       | 0.24           |
| 16–19 years       | 0.26           |
| 20–29 years       | 0.2            |
| 30–39 years       | 0.19           |
| 40–49 years       | 0.23           |
| 50–59 years       | 0.23           |
| 60–69 years       | 0.2            |
| 70–79 years       | 0.23           |
| 80 years and over | 0.23           |
