| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.1            |
| 2–11 months       | 0.19           |
| 1–2 years         | 0.14           |
| 3–5 years         | 0.16           |
| 6–11 years        | 0.19           |
| 12–15 years       | 0.27           |
| 16–19 years       | 0.26           |
| 20–29 years       | 0.26           |
| 30–39 years       | 0.2            |
| 40–49 years       | 0.24           |
| 50–59 years       | 0.22           |
| 60–69 years       | 0.22           |
| 70–79 years       | 0.25           |
| 80 years and over | 0.22           |
