Age,"Sample size",Mean,"Standard error",Median
"All ages",13923,17.8,0.22,15.1
"2–11 months",815,16.5,0.33,15.4
"1–2 years",1171,10.6,0.28,9.2
"3–5 years",1424,12.7,0.26,11
"6–11 years",1581,15.2,0.34,13.3
"12–15 years",751,19,1.11,14.9
"16–19 years",711,20,0.87,17.5
"20–29 years",1587,18.7,0.39,16
"30–39 years",1424,19.3,0.47,16.6
"40–49 years",1188,18.5,0.49,16.4
"50–59 years",820,18.9,0.73,15.9
"60–69 years",1111,18.1,0.57,14.8
"70–79 years",783,16.3,0.54,13.3
"80 years and over",557,17.3,0.62,14.1
