Age,"Sample size",Mean,"Standard error",Median
"All ages",13923,3114,25.7,2849
"2–11 months",815,1332,26.5,1178
"1–2 years",1171,2037,40.6,1965
"3–5 years",1424,2122,43.6,1987
"6–11 years",1581,2493,69.6,2354
"12–15 years",751,2784,83.5,2531
"16–19 years",711,3307,108.8,2903
"20–29 years",1587,3403,61.9,3139
"30–39 years",1424,3479,66.1,3150
"40–49 years",1188,3371,68.2,3212
"50–59 years",820,3520,86.4,3274
"60–69 years",1111,3156,56.3,2956
"70–79 years",783,2975,56.6,2801
"80 years and over",557,2758,62.9,2666
